KEY,Model,SEED,Time,activations,batch_sizes,effective_nvar,first_hidden_layer,hidden_size,method_var_sel,n_layers,nb_epochs,nvar,optimizers,training_accuracy,validation_accuracy
NEURAL_NETWORK_ISIS_11_741,NEURAL_NETWORK,741,2018-08-31 15:53:33.879696,relu,250,11,5,5,ISIS,10,200,30,adam,0.8673463244319414,0.8708687014628861
NEURAL_NETWORK_ISIS_11_741,NEURAL_NETWORK,741,2018-08-31 15:53:33.879696,relu,250,11,5,20,ISIS,10,200,30,adam,0.8698147665038273,0.8723135271807838
NEURAL_NETWORK_ISIS_11_741,NEURAL_NETWORK,741,2018-08-31 15:53:33.879696,relu,5000,11,5,2,ISIS,10,200,30,adam,0.8698147665038273,0.8723135271807838
NEURAL_NETWORK_ISIS_11_741,NEURAL_NETWORK,741,2018-08-31 15:53:33.879696,relu,5000,11,5,5,ISIS,10,200,30,adam,0.8698147665038273,0.8723135271807838
NEURAL_NETWORK_ISIS_11_741,NEURAL_NETWORK,741,2018-08-31 15:53:33.879696,relu,5000,11,5,20,ISIS,10,200,30,adam,0.8698147665038273,0.8723135271807838
NEURAL_NETWORK_ISIS_11_741,NEURAL_NETWORK,741,2018-08-31 15:53:33.879696,relu,250,11,20,2,ISIS,1,200,30,adam,0.8698147665038273,0.8723135271807838
NEURAL_NETWORK_ISIS_11_741,NEURAL_NETWORK,741,2018-08-31 15:53:33.879696,relu,250,11,20,5,ISIS,1,200,30,adam,0.8698147665038273,0.8723135271807838
NEURAL_NETWORK_ISIS_11_741,NEURAL_NETWORK,741,2018-08-31 15:53:33.879696,relu,250,11,20,20,ISIS,1,200,30,adam,0.8698147665038273,0.8723135271807838
NEURAL_NETWORK_ISIS_11_741,NEURAL_NETWORK,741,2018-08-31 15:53:33.879696,relu,5000,11,20,2,ISIS,1,200,30,adam,0.8698147665038273,0.8723135271807838
NEURAL_NETWORK_ISIS_11_741,NEURAL_NETWORK,741,2018-08-31 15:53:33.879696,relu,5000,11,20,5,ISIS,1,200,30,adam,0.8698147665038273,0.8723135271807838
NEURAL_NETWORK_ISIS_11_741,NEURAL_NETWORK,741,2018-08-31 15:53:33.879696,relu,5000,11,20,20,ISIS,1,200,30,adam,0.8698147665038273,0.8723135271807838
NEURAL_NETWORK_ISIS_11_741,NEURAL_NETWORK,741,2018-08-31 15:53:33.879696,relu,250,11,20,2,ISIS,4,200,30,adam,0.8698147665038273,0.8723135271807838
NEURAL_NETWORK_ISIS_11_741,NEURAL_NETWORK,741,2018-08-31 15:53:33.879696,relu,250,11,20,5,ISIS,4,200,30,adam,0.8698147665038273,0.8723135271807838
NEURAL_NETWORK_ISIS_11_741,NEURAL_NETWORK,741,2018-08-31 15:53:33.879696,relu,250,11,20,20,ISIS,4,200,30,adam,0.8703967569110199,0.8741195593281558
NEURAL_NETWORK_ISIS_11_741,NEURAL_NETWORK,741,2018-08-31 15:53:33.879696,relu,5000,11,20,2,ISIS,4,200,30,adam,0.8703967569110199,0.8741195593281558
NEURAL_NETWORK_ISIS_11_741,NEURAL_NETWORK,741,2018-08-31 15:53:33.879696,relu,5000,11,20,5,ISIS,4,200,30,adam,0.8703967569110199,0.8741195593281558
NEURAL_NETWORK_ISIS_11_741,NEURAL_NETWORK,741,2018-08-31 15:53:33.879696,relu,5000,11,20,20,ISIS,4,200,30,adam,0.8703967569110199,0.8741195593281558
NEURAL_NETWORK_ISIS_11_741,NEURAL_NETWORK,741,2018-08-31 15:53:33.879696,relu,250,11,20,2,ISIS,10,200,30,adam,0.8703967569110199,0.8741195593281558
NEURAL_NETWORK_ISIS_11_741,NEURAL_NETWORK,741,2018-08-31 15:53:33.879696,relu,250,11,20,5,ISIS,10,200,30,adam,0.8703967569110199,0.8741195593281558
NEURAL_NETWORK_ISIS_11_741,NEURAL_NETWORK,741,2018-08-31 15:53:33.879696,relu,250,11,20,20,ISIS,10,200,30,adam,0.8723434144799055,0.8730359400397327
NEURAL_NETWORK_ISIS_11_741,NEURAL_NETWORK,741,2018-08-31 15:53:33.879696,relu,5000,11,20,2,ISIS,10,200,30,adam,0.8723434144799055,0.8730359400397327
NEURAL_NETWORK_ISIS_11_741,NEURAL_NETWORK,741,2018-08-31 15:53:33.879696,relu,5000,11,20,5,ISIS,10,200,30,adam,0.8723434144799055,0.8730359400397327
NEURAL_NETWORK_ISIS_11_741,NEURAL_NETWORK,741,2018-08-31 15:53:33.879696,relu,5000,11,20,20,ISIS,10,200,30,adam,0.8723434144799055,0.8730359400397327
NEURAL_NETWORK_LR_ACCURACY_1_741,NEURAL_NETWORK,741,2018-09-03 11:14:02.730534,relu,250,1,5,2,LR_ACCURACY,1,200,1,adam,0.6165084589301371,0.6165793751128771
NEURAL_NETWORK_LR_ACCURACY_1_741,NEURAL_NETWORK,741,2018-09-03 11:14:02.730534,relu,250,1,5,5,LR_ACCURACY,1,200,1,adam,0.6165084589301371,0.6165793751128771
NEURAL_NETWORK_LR_ACCURACY_1_741,NEURAL_NETWORK,741,2018-09-03 11:14:02.730534,relu,250,1,5,20,LR_ACCURACY,1,200,1,adam,0.6165084589301371,0.6165793751128771
NEURAL_NETWORK_LR_ACCURACY_1_741,NEURAL_NETWORK,741,2018-09-03 11:14:02.730534,relu,5000,1,5,2,LR_ACCURACY,1,200,1,adam,0.6165084589301371,0.6165793751128771
NEURAL_NETWORK_LR_ACCURACY_1_741,NEURAL_NETWORK,741,2018-09-03 11:14:02.730534,relu,5000,1,5,5,LR_ACCURACY,1,200,1,adam,0.6165084589301371,0.6165793751128771
NEURAL_NETWORK_LR_ACCURACY_1_741,NEURAL_NETWORK,741,2018-09-03 11:14:02.730534,relu,5000,1,5,20,LR_ACCURACY,1,200,1,adam,0.6165084589301371,0.6165793751128771
NEURAL_NETWORK_LR_ACCURACY_1_741,NEURAL_NETWORK,741,2018-09-03 11:14:02.730534,relu,250,1,5,2,LR_ACCURACY,4,200,1,adam,0.6165084589301371,0.6165793751128771
NEURAL_NETWORK_LR_ACCURACY_1_741,NEURAL_NETWORK,741,2018-09-03 11:14:02.730534,relu,250,1,5,5,LR_ACCURACY,4,200,1,adam,0.6183146360559072,0.6183854072602493
NEURAL_NETWORK_LR_ACCURACY_1_741,NEURAL_NETWORK,741,2018-09-03 11:14:02.730534,relu,250,1,5,20,LR_ACCURACY,4,200,1,adam,0.6183146360559072,0.6183854072602493
NEURAL_NETWORK_LR_ACCURACY_1_741,NEURAL_NETWORK,741,2018-09-03 11:14:02.730534,relu,5000,1,5,2,LR_ACCURACY,4,200,1,adam,0.6183146360559072,0.6183854072602493
NEURAL_NETWORK_LR_ACCURACY_1_741,NEURAL_NETWORK,741,2018-09-03 11:14:02.730534,relu,5000,1,5,5,LR_ACCURACY,4,200,1,adam,0.6183146360559072,0.6183854072602493
NEURAL_NETWORK_LR_ACCURACY_1_741,NEURAL_NETWORK,741,2018-09-03 11:14:02.730534,relu,5000,1,5,20,LR_ACCURACY,4,200,1,adam,0.6183146360559072,0.6183854072602493
NEURAL_NETWORK_LR_ACCURACY_1_741,NEURAL_NETWORK,741,2018-09-03 11:14:02.730534,relu,250,1,5,2,LR_ACCURACY,10,200,1,adam,0.6183146360559072,0.6183854072602493
NEURAL_NETWORK_LR_ACCURACY_1_741,NEURAL_NETWORK,741,2018-09-03 11:14:02.730534,relu,250,1,5,5,LR_ACCURACY,10,200,1,adam,0.6183146360559072,0.6183854072602493
NEURAL_NETWORK_LR_ACCURACY_1_741,NEURAL_NETWORK,741,2018-09-03 11:14:02.730534,relu,250,1,5,20,LR_ACCURACY,10,200,1,adam,0.6183146360559072,0.6183854072602493
NEURAL_NETWORK_LR_ACCURACY_1_741,NEURAL_NETWORK,741,2018-09-03 11:14:02.730534,relu,5000,1,5,2,LR_ACCURACY,10,200,1,adam,0.6183146360559072,0.6183854072602493
NEURAL_NETWORK_LR_ACCURACY_1_741,NEURAL_NETWORK,741,2018-09-03 11:14:02.730534,relu,5000,1,5,5,LR_ACCURACY,10,200,1,adam,0.6183146360559072,0.6183854072602493
NEURAL_NETWORK_LR_ACCURACY_1_741,NEURAL_NETWORK,741,2018-09-03 11:14:02.730534,relu,5000,1,5,20,LR_ACCURACY,10,200,1,adam,0.6183146360559072,0.6183854072602493
NEURAL_NETWORK_LR_ACCURACY_1_741,NEURAL_NETWORK,741,2018-09-03 11:14:02.730534,relu,250,1,20,2,LR_ACCURACY,1,200,1,adam,0.6183146360559072,0.6183854072602493
NEURAL_NETWORK_LR_ACCURACY_1_741,NEURAL_NETWORK,741,2018-09-03 11:14:02.730534,relu,250,1,20,5,LR_ACCURACY,1,200,1,adam,0.6183146360559072,0.6183854072602493
NEURAL_NETWORK_LR_ACCURACY_1_741,NEURAL_NETWORK,741,2018-09-03 11:14:02.730534,relu,250,1,20,20,LR_ACCURACY,1,200,1,adam,0.6183146360559072,0.6183854072602493
NEURAL_NETWORK_LR_ACCURACY_1_741,NEURAL_NETWORK,741,2018-09-03 11:14:02.730534,relu,5000,1,20,2,LR_ACCURACY,1,200,1,adam,0.6183146360559072,0.6183854072602493
NEURAL_NETWORK_LR_ACCURACY_1_741,NEURAL_NETWORK,741,2018-09-03 11:14:02.730534,relu,5000,1,20,5,LR_ACCURACY,1,200,1,adam,0.6183146360559072,0.6183854072602493
NEURAL_NETWORK_LR_ACCURACY_1_741,NEURAL_NETWORK,741,2018-09-03 11:14:02.730534,relu,5000,1,20,20,LR_ACCURACY,1,200,1,adam,0.6183146360559072,0.6183854072602493
NEURAL_NETWORK_LR_ACCURACY_1_741,NEURAL_NETWORK,741,2018-09-03 11:14:02.730534,relu,250,1,20,2,LR_ACCURACY,4,200,1,adam,0.6183146360559072,0.6183854072602493
NEURAL_NETWORK_LR_ACCURACY_1_741,NEURAL_NETWORK,741,2018-09-03 11:14:02.730534,relu,250,1,20,5,LR_ACCURACY,4,200,1,adam,0.6183146360559072,0.6183854072602493
NEURAL_NETWORK_LR_ACCURACY_1_741,NEURAL_NETWORK,741,2018-09-03 11:14:02.730534,relu,250,1,20,20,LR_ACCURACY,4,200,1,adam,0.6183547733253688,0.6200108361928842
NEURAL_NETWORK_LR_ACCURACY_1_741,NEURAL_NETWORK,741,2018-09-03 11:14:02.730534,relu,5000,1,20,2,LR_ACCURACY,4,200,1,adam,0.6183547733253688,0.6200108361928842
NEURAL_NETWORK_LR_ACCURACY_1_741,NEURAL_NETWORK,741,2018-09-03 11:14:02.730534,relu,5000,1,20,5,LR_ACCURACY,4,200,1,adam,0.6183547733253688,0.6200108361928842
NEURAL_NETWORK_LR_ACCURACY_1_741,NEURAL_NETWORK,741,2018-09-03 11:14:02.730534,relu,5000,1,20,20,LR_ACCURACY,4,200,1,adam,0.6183547733253688,0.6200108361928842
NEURAL_NETWORK_LR_ACCURACY_1_741,NEURAL_NETWORK,741,2018-09-03 11:14:02.730534,relu,250,1,20,2,LR_ACCURACY,10,200,1,adam,0.6183547733253688,0.6200108361928842
